Timestamp,Processor ID,Thread Name,Execution Time (ms),Remaining Time (ms)
[03:45:01] Processor 0 executed T4 for 100ms, Remaining: 931ms
[03:45:01] Processor 0 executed T4 for 100ms, Remaining: 831ms
[03:45:01] Processor 0 executed T4 for 100ms, Remaining: 731ms
[03:45:01] Processor 0 executed T4 for 100ms, Remaining: 631ms
[03:45:01] Processor 0 executed T4 for 100ms, Remaining: 531ms
[03:45:01] Processor 0 executed T4 for 100ms, Remaining: 431ms
[03:45:01] Processor 0 executed T4 for 100ms, Remaining: 331ms
[03:45:01] Processor 0 executed T4 for 100ms, Remaining: 231ms
[03:45:02] Processor 0 executed T4 for 100ms, Remaining: 131ms
[03:45:02] Processor 0 executed T4 for 100ms, Remaining: 31ms
[03:45:02] Processor 0 executed T4 for 31ms, Remaining: 0ms
[03:45:02] Processor 0 executed T5 for 100ms, Remaining: 260ms
[03:45:02] Processor 0 executed T5 for 100ms, Remaining: 160ms
[03:45:02] Processor 0 executed T5 for 100ms, Remaining: 60ms
[03:45:02] Processor 0 executed T5 for 60ms, Remaining: 0ms
[03:45:02] Processor 0 executed T6 for 100ms, Remaining: 250ms
[03:45:02] Processor 0 executed T6 for 100ms, Remaining: 150ms
[03:45:02] Processor 0 executed T6 for 100ms, Remaining: 50ms
[03:45:02] Processor 0 executed T6 for 50ms, Remaining: 0ms
[03:45:02] Processor 0 executed T7 for 100ms, Remaining: 241ms
[03:45:03] Processor 0 executed T7 for 100ms, Remaining: 141ms
[03:45:03] Processor 0 executed T7 for 100ms, Remaining: 41ms
[03:45:03] Processor 0 executed T7 for 41ms, Remaining: 0ms
[03:45:03] Processor 0 executed T8 for 100ms, Remaining: 244ms
[03:45:03] Processor 0 executed T8 for 100ms, Remaining: 144ms
[03:45:03] Processor 0 executed T8 for 100ms, Remaining: 44ms
[03:45:03] Processor 0 executed T8 for 44ms, Remaining: 0ms
[03:45:03] Processor 0 executed T9 for 100ms, Remaining: 1198ms
[03:45:03] Processor 0 executed T9 for 100ms, Remaining: 1098ms
[03:45:03] Processor 0 executed T9 for 100ms, Remaining: 998ms
[03:45:03] Processor 0 executed T9 for 100ms, Remaining: 898ms
[03:45:04] Processor 0 executed T9 for 100ms, Remaining: 798ms
[03:45:04] Processor 0 executed T9 for 100ms, Remaining: 698ms
[03:45:04] Processor 0 executed T9 for 100ms, Remaining: 598ms
[03:45:04] Processor 0 executed T9 for 100ms, Remaining: 498ms
